Index,Type,Price,Area,Location
296,T2,239000,124,Porto
297,T2,330000,95,Porto
299,T3,249000,173,Porto
300,T2,175000,85,Porto
301,T3,270000,173,Porto
302,T5,875000,225,Porto
303,T3,285000,127,Porto
304,T1,320000,54,Faro
305,T2,197500,67,Setúbal
306,T3,540000,104.50,Porto
307,T2,307500,142,Porto
308,T1,260000,69,Faro
309,T3,545000,114,Lisboa
310,T1,310000,57,Braga
311,T2,695000,99,Lisboa
312,T0,329000,211.15,Aveiro
314,T4,665000,168.41,Porto
315,T3,480000,128.31,Porto
316,T1,207000,56,Porto
317,T2,310000,81.42,Porto
318,T3,360000,116,Lisboa
319,T2,189500,86.60,Porto
320,T2,119900,67,Leiria
321,T1,189000,51.50,Porto
322,T4,425000,174,Porto
323,T1,266010,64,Porto
324,T1,225000,48,Aveiro
325,T2,365000,77,Porto
326,T2,320000,77,Aveiro
327,T4,950000,202,Lisboa
328,T3,450000,129,Porto
329,T2,220000,86,Faro
330,T1,140000,47,Coimbra
331,T2,198000,90,Braga
332,T3,175000,115,Braga
333,T3,170000,80.50,Braga
334,T1,217845,48.41,Porto
335,T1,217845,48.41,Porto
336,T4,495000,92.91,Lisboa
337,T3,275000,102,Lisboa
338,T3,695000,158,Coimbra
339,T4,1680000,201,Lisboa
340,T4,680000,170.50,Lisboa
342,T4,2500000,286,Lisboa
343,T2,1150000,154,Lisboa
344,T5,595000,139,Lisboa
346,T2,1300000,131,Lisboa
347,T4,1890000,200,Lisboa
348,T3,1490000,142,Lisboa
349,T3,890000,138,Lisboa
350,T2,2200000,122,Lisboa
351,T2,935000,118,Lisboa
352,T1,119000,36,Setúbal
354,T2,210000,80,Lisboa
355,T1,249000,39,Lisboa
356,T3,430000,111,Faro
357,T3,375000,138,Porto
358,T3,285000,106,Faro
359,T3,240000,99,Lisboa
360,T2,159900,97,Porto
361,T3,370000,107,Faro
362,T4,1250000,217.06,Porto
363,T3,219900,116,Braga
364,T3,210000,115,Porto
365,T2,255000,82,Lisboa
366,T2,264900,146,Braga
367,T1,205000,60.95,Lisboa
368,T2,425000,95.80,Faro
369,T3,315000,122,Porto
370,T3,210000,139.42,Braga
371,T4,795000,153,Lisboa
372,T2,750000,72.40,Lisboa
373,T4,399750,145,Lisboa
374,T3,249900,110,Braga
375,T3,205000,109,Porto
376,T3,1299000,113.04,Lisboa
377,T2,180000,63.87,Setúbal
378,T3,385000,92,Lisboa
379,T2,595000,135,Lisboa
380,T3,350000,107.60,Lisboa
381,T3,380000,137.80,Porto
382,T3,205000,136.10,Leiria
383,T1,390000,62,Lisboa
384,T3,425000,123.30,Faro
385,T3,550000,100,Lisboa
386,T2,378000,129.69,Lisboa
387,T2,119900,76.39,Coimbra
388,T3,275000,136,Porto
389,T1,230000,67,Aveiro
390,T3,199500,165.17,Coimbra
391,T3,249900,127.30,Porto
392,T2,265200,103.40,Porto
393,T5,800000,270,Leiria
394,T2,268000,84,Porto
395,T3,218000,134.28,Leiria
396,T3,448000,100,Lisboa
397,T3,258700,91,Aveiro
398,T3,435000,121,Lisboa
399,T4,989000,190,Lisboa
400,T3,205000,123,Porto
401,T2,720000,145,Lisboa
402,T2,175000,64,Faro
403,T3,550000,164.40,Aveiro
404,T2,254900,96.25,Aveiro
405,T4,885000,288,Porto
406,T2,230000,77,Lisboa
407,T4,550000,185,Porto
408,T1,329000,74.69,Faro
409,T1,350000,56,Porto
410,T1,230000,66.68,Setúbal
411,T3,220000,86,Lisboa
412,T3,780000,125,Aveiro
413,T4,300000,170,Aveiro
414,T1,180000,60,Porto
415,T2,240000,100,Aveiro
416,T3,209000,73,Setúbal
417,T2,145000,120,Aveiro
418,T3,2000000,130,Lisboa
419,T2,149000,83.50,Faro
420,T3,460000,134,Lisboa
421,T3,395000,126.54,Coimbra
422,T2,550000,78,Ilha da Madeira
424,T3,267000,130,Lisboa
425,T2,415000,109,Lisboa
426,T3,698000,159.80,Lisboa
427,T4,335000,176,Coimbra
428,T1,197500,60,Porto
429,T2,240000,97,Porto
430,T2,285000,104,Porto
431,T2,270000,86,Faro
432,T2,350000,77.80,Porto
433,T2,315000,96.80,Lisboa
434,T3,550010,168,Porto
436,T2,375800,88.24,Porto
437,T1,330000,60,Porto
438,T2,411400,97.76,Porto
439,T1,243090,68.65,Porto
440,T2,365000,86.29,Porto
441,T2,380000,83.70,Setúbal
442,T2,300000,69.89,Faro
443,T3,485000,127.48,Porto
444,T2,363100,88.33,Porto
445,T2,635000,93.90,Faro
446,T2,290000,115.20,Braga
447,T2,376300,88.33,Porto
448,T0,169000,37,Porto
449,T3,960000,148.96,Lisboa
450,T4,950000,159,Porto
451,T2,438000,111.63,Porto
452,T2,380700,89.54,Porto
453,T2,390200,96.54,Porto
454,T2,400200,97.76,Porto
455,T2,398000,92.99,Setúbal
456,T1,252000,61.20,Porto
457,T4,605000,170.05,Porto
458,T3,520000,112,Porto
459,T1,450000,53,Lisboa
460,T2,372700,89.54,Porto
461,T2,374700,94.35,Porto
462,T1,249000,53,Porto
463,T2,370100,89.54,Porto
464,T4,585000,152.33,Porto
465,T2,405800,97.76,Porto
466,T3,634000,128.69,Setúbal
467,T2,446760,67.95,Lisboa
468,T2,369400,88.40,Porto
469,T3,1260000,190.52,Lisboa
470,T2,844000,110.39,Lisboa
471,T2,500000,97.10,Lisboa
472,T4,1400000,164.10,Porto
473,T2,398000,144,Porto
474,T2,486000,65,Lisboa
475,T2,324131,119.50,Faro
476,T3,350000,127,Setúbal
477,T1,500000,80.90,Lisboa
478,T2,432300,103,Porto
479,T1,272300,63.72,Porto
480,T2,383800,96.49,Porto
481,T2,570000,140.50,Porto
482,T1,295000,110,Porto
483,T1,276520,63.72,Porto
484,T2,374800,88.67,Porto
485,T2,399600,96,Porto
486,T3,440000,177,Braga
487,T3,1220000,184.17,Lisboa
488,T2,365000,65,Lisboa
489,T2,368400,88.33,Porto
490,T2,365100,88.67,Porto
491,T0,199000,51,Porto
492,T3,508000,125.45,Setúbal
493,T2,357000,81,Porto
494,T4,1500000,300,Lisboa
495,T3,247000,95.10,Porto
496,T2,825000,102,Faro
497,T3,1800000,135,Lisboa
499,T2,172500,70,Lisboa
500,T3,410000,116,Porto
